image-name,label,label-name
1.jpg,38,bonus-winter
2.jpg,26,characters-8
3.jpg,9,dots-9
4.jpg,36,bonus-summer
5.jpg,28,honors-east
6.jpg,37,bonus-autumn
7.jpg,24,characters-6
8.jpg,16,bamboo-7
9.jpg,31,honors-north
10.jpg,30,honors-west
11.jpg,20,characters-2
12.jpg,26,characters-8
13.jpg,9,dots-9
14.jpg,23,characters-5
15.jpg,31,honors-north
16.jpg,3,dots-3
17.jpg,3,dots-3
18.jpg,22,characters-4
19.jpg,2,dots-2
20.jpg,29,honors-south
21.jpg,22,characters-4
22.jpg,23,characters-5
23.jpg,3,dots-3
24.jpg,29,honors-south
25.jpg,25,characters-7
26.jpg,7,dots-7
27.jpg,6,dots-6
28.jpg,33,honors-green
29.jpg,16,bamboo-7
30.jpg,12,bamboo-3
31.jpg,25,characters-7
32.jpg,10,bamboo-1
33.jpg,32,honors-red
34.jpg,41,bonus-chrysanthemum
35.jpg,34,honors-white
36.jpg,22,characters-4
37.jpg,39,bonus-plum
38.jpg,30,honors-west
39.jpg,34,honors-white
40.jpg,26,characters-8
41.jpg,27,characters-9
42.jpg,24,characters-6
43.jpg,23,characters-5
44.jpg,32,honors-red
45.jpg,19,characters-1
46.jpg,7,dots-7
47.jpg,3,dots-3
48.jpg,6,dots-6
49.jpg,21,characters-3
50.jpg,33,honors-green
51.jpg,19,characters-1
52.jpg,10,bamboo-1
53.jpg,31,honors-north
54.jpg,24,characters-6
55.jpg,12,bamboo-3
56.jpg,19,characters-1
57.jpg,32,honors-red
58.jpg,5,dots-5
59.jpg,17,bamboo-8
60.jpg,15,bamboo-6
61.jpg,6,dots-6
62.jpg,2,dots-2
63.jpg,4,dots-4
64.jpg,28,honors-east
65.jpg,10,bamboo-1
66.jpg,20,characters-2
67.jpg,4,dots-4
68.jpg,30,honors-west
69.jpg,11,bamboo-2
70.jpg,13,bamboo-4
71.jpg,13,bamboo-4
72.jpg,16,bamboo-7
73.jpg,15,bamboo-6
74.jpg,10,bamboo-1
75.jpg,17,bamboo-8
76.jpg,8,dots-8
77.jpg,5,dots-5
78.jpg,12,bamboo-3
79.jpg,2,dots-2
80.jpg,15,bamboo-6
81.jpg,31,honors-north
82.jpg,29,honors-south
83.jpg,21,characters-3
84.jpg,18,bamboo-9
85.jpg,21,characters-3
86.jpg,18,bamboo-9
87.jpg,5,dots-5
88.jpg,13,bamboo-4
89.jpg,20,characters-2
90.jpg,7,dots-7
91.jpg,5,dots-5
92.jpg,22,characters-4
93.jpg,1,dots-1
94.jpg,34,honors-white
95.jpg,42,bonus-bamboo
96.jpg,14,bamboo-5
97.jpg,34,honors-white
98.jpg,14,bamboo-5
99.jpg,30,honors-west
100.jpg,27,characters-9
101.jpg,15,bamboo-6
102.jpg,7,dots-7
103.jpg,27,characters-9
104.jpg,1,dots-1
105.jpg,4,dots-4
106.jpg,14,bamboo-5
107.jpg,20,characters-2
108.jpg,18,bamboo-9
109.jpg,33,honors-green
110.jpg,28,honors-east
111.jpg,29,honors-south
112.jpg,6,dots-6
113.jpg,1,dots-1
114.jpg,17,bamboo-8
115.jpg,17,bamboo-8
116.jpg,32,honors-red
117.jpg,27,characters-9
118.jpg,13,bamboo-4
119.jpg,23,characters-5
120.jpg,4,dots-4
121.jpg,18,bamboo-9
122.jpg,19,characters-1
123.jpg,1,dots-1
124.jpg,9,dots-9
125.jpg,16,bamboo-7
126.jpg,33,honors-green
127.jpg,2,dots-2
128.jpg,9,dots-9
129.jpg,24,characters-6
130.jpg,8,dots-8
131.jpg,11,bamboo-2
132.jpg,25,characters-7
133.jpg,26,characters-8
134.jpg,12,bamboo-3
135.jpg,14,bamboo-5
136.jpg,35,bonus-spring
137.jpg,25,characters-7
138.jpg,11,bamboo-2
139.jpg,40,bonus-orchid
140.jpg,28,honors-east
141.jpg,34,honors-white
142.jpg,33,honors-green
143.jpg,32,honors-red
144.jpg,31,honors-north
145.jpg,30,honors-west
146.jpg,29,honors-south
147.jpg,28,honors-east
148.jpg,41,bonus-chrysanthemum
149.jpg,42,bonus-bamboo
150.jpg,40,bonus-orchid
151.jpg,39,bonus-plum
152.jpg,38,bonus-winter
153.jpg,37,bonus-autumn
154.jpg,36,bonus-summer
155.jpg,35,bonus-spring
156.jpg,18,bamboo-9
157.jpg,17,bamboo-8
158.jpg,16,bamboo-7
159.jpg,15,bamboo-6
160.jpg,14,bamboo-5
161.jpg,13,bamboo-4
162.jpg,12,bamboo-3
163.jpg,11,bamboo-2
164.jpg,10,bamboo-1
165.jpg,9,dots-9
166.jpg,8,dots-8
